ticker,direction,entryDate,exitDate,entryPrice,exitPrice,slPrice,tpPrice,R,grossR,netR,feeCostR,slippageCostR,holding_days,MaxFavorableR,MaxAdverseR,regime,exitType
AAVE,LONG,2021-06-14,2021-06-22,317.9,190.47,190.47,700.19,-1.0099,-1.0,-1.0099,0.0059,0.004,8,0.07,1.15,NEUTRAL,SL
AAVE,LONG,2021-08-19,2021-09-21,404.92,281.49,281.49,775.22,-1.013,-1.0,-1.013,0.0077,0.0052,33,0.16,1.16,BULL,SL
AAVE,LONG,2021-09-24,2021-10-27,280.92,324.77,154.61,659.85,0.3384,0.3472,0.3384,0.0052,0.0036,33,1.37,0.17,NEUTRAL,SIGNAL
AAVE,LONG,2021-10-29,2021-11-17,327.75,284.17,226.36,631.91,-0.4426,-0.4298,-0.4426,0.0076,0.0052,19,0.21,0.61,BULL,SIGNAL
AAVE,LONG,2021-11-18,2021-11-19,262.41,279.03,187.59,486.87,0.2082,0.2221,0.2082,0.0083,0.0056,1,0.24,0.05,BULL,SIGNAL
AAVE,LONG,2021-11-24,2021-12-01,262.59,251.03,197.86,456.8,-0.1948,-0.1787,-0.1948,0.0096,0.0065,7,0.1,0.55,BULL,SIGNAL
AAVE,LONG,2021-12-02,2021-12-06,244.56,185.0,185.0,423.21,-1.0163,-1.0,-1.0163,0.0097,0.0066,4,0.03,1.27,BULL,SL
AAVE,LONG,2021-12-07,2021-12-27,187.6,276.74,109.22,422.75,1.1278,1.1373,1.1278,0.0056,0.0038,20,1.34,0.38,BULL,SIGNAL
AAVE,LONG,2021-12-28,2022-01-04,252.56,252.84,169.33,502.26,-0.0086,0.0034,-0.0086,0.0072,0.0049,7,0.39,0.25,NEUTRAL,SIGNAL
AAVE,LONG,2023-02-09,2023-02-13,77.75,82.39,58.8,134.58,0.2291,0.2453,0.2291,0.0097,0.0066,4,0.3,0.2,BULL,SIGNAL
AAVE,LONG,2023-02-17,2023-02-21,86.51,87.57,68.48,140.61,0.0396,0.0586,0.0396,0.0113,0.0077,4,0.34,0.01,BULL,SIGNAL
AAVE,LONG,2023-02-27,2023-03-27,80.27,69.77,63.07,131.87,-0.6289,-0.6105,-0.6289,0.011,0.0075,28,0.16,0.89,BULL,SIGNAL
AAVE,LONG,2023-04-13,2023-04-19,81.19,74.03,70.52,113.21,-0.7008,-0.6707,-0.7008,0.018,0.0122,6,0.27,0.74,BULL,SIGNAL
AAVE,LONG,2023-04-26,2023-05-03,69.42,71.7,55.9,109.97,0.1487,0.169,0.1487,0.0121,0.0082,7,0.2,0.13,BULL,SIGNAL
AAVE,LONG,2023-05-04,2023-05-05,70.83,73.49,60.84,100.8,0.2376,0.2656,0.2376,0.0167,0.0113,1,0.33,0.02,BULL,SIGNAL
AAVE,LONG,2023-05-08,2023-05-15,64.62,62.82,53.78,97.14,-0.1896,-0.1659,-0.1896,0.0141,0.0095,7,0.11,0.38,BULL,SIGNAL
AAVE,LONG,2023-05-25,2023-05-30,63.49,66.7,56.95,83.13,0.452,0.4904,0.452,0.0229,0.0155,5,0.89,0.09,BULL,SIGNAL
AAVE,LONG,2023-06-14,2023-06-23,52.08,57.05,41.55,83.7,0.452,0.4716,0.452,0.0117,0.0079,9,0.52,0.28,BULL,SIGNAL
AAVE,LONG,2023-07-19,2023-07-26,71.8,72.01,56.5,117.69,-0.0049,0.0137,-0.0049,0.0111,0.0075,7,0.22,0.17,BULL,SIGNAL
AAVE,LONG,2023-07-27,2023-08-09,72.37,67.34,60.1,109.15,-0.4335,-0.4102,-0.4335,0.0139,0.0094,13,0.11,0.87,BULL,SIGNAL
AAVE,LONG,2023-08-10,2023-08-17,67.02,56.15,56.15,99.62,-1.0244,-1.0,-1.0244,0.0146,0.0099,7,0.0,1.37,BULL,SL
AAVE,LONG,2023-08-22,2023-10-23,54.87,78.93,46.85,78.93,2.9729,3.0,2.9729,0.0161,0.0109,62,3.97,0.41,NEUTRAL,TP
AAVE,LONG,2023-10-26,2023-10-30,80.8,83.79,63.81,131.78,0.1573,0.1761,0.1573,0.0112,0.0076,4,0.38,0.24,BULL,SIGNAL
AAVE,LONG,2023-11-20,2023-11-24,90.24,98.93,66.07,162.74,0.345,0.3598,0.345,0.0088,0.006,4,0.37,0.24,BULL,SIGNAL
AAVE,LONG,2023-12-14,2023-12-19,106.98,101.29,87.39,165.76,-0.3121,-0.2905,-0.3121,0.0129,0.0087,5,0.55,0.66,BULL,SIGNAL
AAVE,LONG,2023-12-21,2023-12-27,101.63,112.11,78.23,171.82,0.431,0.4482,0.431,0.0103,0.0069,6,0.48,0.13,BULL,SIGNAL
AAVE,LONG,2024-01-03,2024-02-08,102.59,85.23,71.85,194.8,-0.5781,-0.5649,-0.5781,0.0079,0.0053,36,0.49,0.68,BULL,SIGNAL
AAVE,LONG,2024-02-09,2024-02-12,87.6,90.93,75.93,122.63,0.255,0.2847,0.255,0.0177,0.012,3,0.29,0.2,BULL,SIGNAL
AAVE,LONG,2024-02-22,2024-02-26,91.86,102.75,78.19,132.84,0.7709,0.7975,0.7709,0.0159,0.0108,4,0.87,0.17,BULL,SIGNAL
AAVE,LONG,2024-03-04,2024-04-04,114.27,116.38,89.62,188.24,0.0672,0.0855,0.0672,0.0109,0.0074,31,1.58,0.77,BULL,SIGNAL
AAVE,LONG,2024-04-09,2024-04-12,126.03,99.52,99.52,205.57,-1.0188,-1.0,-1.0188,0.0112,0.0076,3,0.22,1.24,BULL,SL
AAVE,LONG,2024-04-24,2024-05-02,90.7,84.98,54.72,198.64,-0.1689,-0.1589,-0.1689,0.0059,0.004,8,0.03,0.33,BULL,SIGNAL
AAVE,LONG,2024-05-03,2024-05-20,88.81,97.86,70.38,144.13,0.4717,0.4908,0.4717,0.0114,0.0077,17,0.49,0.47,BULL,SIGNAL
AAVE,LONG,2024-05-22,2024-05-24,94.4,99.34,77.78,144.23,0.2753,0.2978,0.2753,0.0134,0.0091,2,0.54,0.17,BULL,SIGNAL
AAVE,LONG,2024-06-04,2024-06-10,103.13,90.78,83.73,161.31,-0.6576,-0.6365,-0.6576,0.0125,0.0085,6,0.11,0.64,BULL,SIGNAL
AAVE,LONG,2024-06-25,2024-07-04,92.03,79.43,72.62,150.25,-0.6681,-0.6493,-0.6681,0.0112,0.0076,9,0.4,0.66,BULL,SIGNAL
AAVE,LONG,2024-07-12,2024-07-26,97.46,97.81,76.06,161.68,-0.0016,0.0164,-0.0016,0.0107,0.0073,14,0.42,0.54,NEUTRAL,SIGNAL
AAVE,LONG,2024-07-31,2024-08-01,107.57,116.72,87.29,168.43,0.4298,0.4508,0.4298,0.0125,0.0085,1,0.47,0.19,BULL,SIGNAL
AAVE,LONG,2024-10-21,2024-10-23,153.28,148.93,128.1,228.79,-0.1969,-0.1728,-0.1969,0.0144,0.0097,2,0.06,0.37,BULL,SIGNAL
AAVE,LONG,2024-10-24,2024-10-30,147.41,156.27,121.88,224.0,0.3242,0.347,0.3242,0.0136,0.0092,6,0.41,0.56,BULL,SIGNAL
