ticker,entry_date,exit_date,holding_days,pnl_pct,pnl_dollars,R,MaxFavorableR,MaxAdverseR,regime
ADA,2020-01-31,2020-02-03,3,0.004593433741464606,459.3433741464606,0.92,0.92,0.0,BULL
ETH,2020-01-31,2020-02-03,3,0.005089275629631711,508.9275629631711,1.02,1.02,0.0,BULL
LTC,2020-01-31,2020-02-03,3,0.002486848633961711,248.6848633961711,0.5,0.76,0.0,BULL
TRX,2020-01-31,2020-02-03,3,0.0022580274854405846,225.80274854405846,0.45,0.45,0.0,BULL
ZEC,2020-01-31,2020-02-03,3,-0.0011301923287326203,-113.01923287326203,-0.23,0.01,-0.23,BULL
ZEN,2020-01-31,2020-02-03,3,-0.008806323934302689,-880.6323934302688,-1.76,0.0,-1.76,BULL
ETC,2020-02-03,2020-02-06,3,0.0026217059293815567,262.17059293815566,0.52,0.93,-0.63,BULL
ATOM,2020-01-31,2020-02-09,9,0.006902152620348772,690.2152620348772,1.38,1.57,-0.69,BULL
BCH,2020-02-06,2020-02-09,3,0.0010098290374619832,100.98290374619832,0.2,0.2,-0.09,BULL
BNB,2020-01-31,2020-02-09,9,0.02735451439798249,2735.451439798249,5.47,5.47,-0.03,BULL
LPT,2020-01-31,2020-02-09,9,-0.01783355318549651,-1783.355318549651,-3.57,0.0,-4.73,BULL
XRP,2020-02-03,2020-02-09,6,0.010806332210068013,1080.6332210068013,2.16,2.16,0.0,BULL
ZEN,2020-02-06,2020-02-09,3,0.007059264310291915,705.9264310291916,1.41,1.68,0.0,BULL
DASH,2020-02-06,2020-02-12,6,0.009431237842351873,943.1237842351873,1.89,1.89,-0.18,BULL
ETH,2020-02-06,2020-02-12,6,0.015321593435298849,1532.1593435298848,3.06,3.06,0.0,BULL
FIL,2020-01-31,2020-02-12,12,0.053667700491117916,5366.770049111791,10.73,10.73,0.0,BULL
LTC,2020-02-06,2020-02-12,6,0.008601540690815685,860.1540690815685,1.72,1.72,0.0,BULL
STORJ,2020-02-09,2020-02-12,3,0.00978248781313263,978.2487813132631,1.96,1.96,-0.65,BULL
BNB,2020-02-12,2020-02-15,3,-0.009066558419940146,-906.6558419940146,-1.81,0.0,-1.81,BULL
COTI,2020-02-12,2020-02-15,3,0.021684313788563135,2168.4313788563136,4.34,4.34,0.0,BULL
ETC,2020-02-12,2020-02-15,3,-0.014392559174556022,-1439.2559174556022,-2.88,0.0,-2.88,BULL
GAS,2020-02-03,2020-02-15,12,0.05706766593714198,5706.766593714198,11.41,12.69,0.0,BULL
TRX,2020-02-12,2020-02-15,3,-0.0018538134144246033,-185.38134144246033,-0.37,1.89,-0.37,BULL
VET,2020-02-12,2020-02-15,3,-0.00032678379199529463,-32.678379199529466,-0.07,1.96,-0.07,BULL
ZEC,2020-02-12,2020-02-15,3,-0.013251488167767793,-1325.1488167767793,-2.65,0.0,-2.65,BULL
COTI,2020-02-18,2020-02-21,3,0.0069751411650066115,697.5141165006612,1.4,1.4,-0.14,BULL
SNX,2020-02-03,2020-02-21,18,-0.014693155565090156,-1469.3155565090156,-2.94,0.48,-5.27,BULL
STORJ,2020-02-15,2020-02-21,6,-0.0591665550916916,-5916.65550916916,-11.83,0.0,-11.83,BULL
TRX,2020-02-18,2020-02-21,3,-0.006245505150089956,-624.5505150089956,-1.25,0.0,-1.43,BULL
ATOM,2020-02-18,2020-02-24,6,-0.0008617957456495302,-86.17957456495303,-0.17,1.8,-0.95,BULL
BCH,2020-02-18,2020-02-24,6,-0.008045103476690869,-804.5103476690869,-1.61,0.0,-1.82,BULL
BTC,2020-02-21,2020-02-24,3,-0.00023988461113797648,-23.988461113797648,-0.05,0.31,-0.05,BULL
ETC,2020-02-18,2020-02-24,6,-0.0027892129386557765,-278.92129386557764,-0.56,0.0,-1.13,BULL
ETH,2020-02-21,2020-02-24,3,-9.561436822014659e-05,-9.56143682201466,-0.02,0.4,-0.16,BULL
VTHO,2020-02-21,2020-02-24,3,0.003177256445867638,317.72564458676385,0.64,0.92,0.0,BULL
ZEN,2020-02-18,2020-02-24,6,-0.007341330980756811,-734.1330980756811,-1.47,0.0,-1.47,BULL
FIL,2020-02-15,2020-02-27,12,-0.012672477062775123,-1267.2477062775124,-2.53,1.84,-6.72,BULL
SNX,2020-02-24,2020-02-27,3,-0.001565234979874243,-156.5234979874243,-0.31,0.0,-3.94,BULL
GAS,2020-02-18,2020-03-01,12,-0.013425212836600886,-1342.5212836600886,-2.69,0.0,-3.91,BULL
LPT,2020-02-12,2020-03-01,18,-0.028552876329123275,-2855.2876329123274,-5.71,0.63,-7.56,BULL
TRX,2020-02-27,2020-03-01,3,-0.0014327082811577399,-143.27082811577398,-0.29,0.08,-0.29,NEUTRAL
VTHO,2020-02-27,2020-03-01,3,-0.0032017321634172824,-320.1732163417282,-0.64,0.0,-0.64,NEUTRAL
